title,url,summary,published_at_raw,page_number
Por que o Brasil multou o TikTok e suspendeu lives do Discord? Entenda a diferença entre os casos,https://g1.globo.com/tecnologia/noticia/2026/08/25/por-que-a-anpd-multou-o-tiktok-e-suspendeu-lives-do-discord-entenda-a-diferenca-entre-os-casos.ghtml,"...Mariia Berezovsky No caso envolvendo o TikTok, a ANPD afirmou ter identificado cinco infrações à Lei Geral de Proteção de Dados (LGPD... … ...não reflete as ações previstas nesse plano nem as medidas voluntariamente implementadas desde então, que garantem o cumprimento da LGPD...",há 8 horas,1
TikTok leva multa inédita no Brasil: o que causou a decisão? E o que muda? Veja perguntas e respostas,https://g1.globo.com/tecnologia/noticia/2026/08/26/tiktok-leva-multa-inedita-no-brasil-o-que-causou-a-decisao-e-o-que-muda-veja-perguntas-e-respostas.ghtml,...g1 O órgão concluiu que o TikTok tratou indevidamente dados de menores de idade em desacordo com a Lei Geral de Proteção de Dados (LGPD... … ...O TikTok afirmou ao g1 que a multa se refere a um período anterior ao seu enquadramento à LGPD e que seguirá dialogando com a agência...,há 58 minutos,1
"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores",https://g1.globo.com/tecnologia/noticia/2026/08/25/anpd-multa-tiktok-por-falhas-na-protecao-de-menores.ghtml,"...Segundo a ANPD, foram identificadas cinco violações à Lei Geral de Proteção de Dados (LGPD) em duas formas de acesso ao TikTok: o ""... … ...não reflete as ações previstas nesse plano nem as medidas voluntariamente implementadas desde então, que garantem o cumprimento da LGPD...",há 3 horas,1
Backup local ou em nuvem: o que considerar na escolha da estratégia,https://g1.globo.com/pr/parana/especial-publicitario/gate7-it-solutions-gestao-de-ti-inteligente/noticia/2026/08/25/backup-local-ou-em-nuvem-o-que-considerar-na-escolha-da-estrategia.ghtml,"...as exigências regulatórias aplicáveis ao setor de atuação da empresa, especialmente em relação à Lei Geral de Proteção de Dados (LGPD...",há 15 horas,1
"Delegada Vilma Alves segue internada após sofrer infarto em Teresina: 'lutando pela vida', diz filha",https://g1.globo.com/pi/piaui/noticia/2026/08/21/delegada-teresina-filha.ghtml,"...privacidade da paciente, ao sigilo das informações de saúde, ao Código de Ética Médica e à Lei Geral de Proteção de Dados Pessoais (LGPD...",há 2 dias,1
Homem-Aranha na BMW abre discussão: montadoras podem colocar propaganda na tela do carro?,https://g1.globo.com/carros/noticia/2026/08/20/propaganda-na-tela-do-carro.ghtml,"...Contrato, LGPD e Código de Defesa do Consumidor precisam caminhar juntos"", diz o advogado... … ...O Procon-SP também destaca as regras da LGPD sobre consentimento...",há 5 dias,1
Homem é preso suspeito de agredir a irmã em Itatiba,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/08/20/homem-e-preso-suspeito-de-agredir-a-irma-em-itatiba.ghtml,"...A Santa Casa não informou o estado de saúde da paciente, alegando restrições da Lei Geral de Proteção de Dados (LGPD)...",há 5 dias,1
Entidades acionam MPF contra óculos inteligentes da Meta por riscos à privacidade e aos consumidores,https://g1.globo.com/tecnologia/noticia/2026/08/21/entidades-acionam-mpf-contra-oculos-inteligentes-da-meta-por-riscos-a-privacidade-e-aos-consumidores.ghtml,...As entidades alegam que o produto pode colocar em risco a privacidade das pessoas e violar a Lei Geral de Proteção de Dados (LGPD)... … ...produto para consumidores e terceiros; a criação de mecanismos para que pessoas filmadas possam exercer seus direitos previstos na LGPD...,há 4 dias,1
Motorista de caminhonete persegue e esfaqueia motoboy em pizzaria no PR após briga de trânsito e é encontrado com ajuda de IA,https://g1.globo.com/pr/campos-gerais-sul/noticia/2026/08/21/motorista-de-caminhonete-persegue-e-esfaqueia-motoboy-em-pizzaria-no-pr-apos-briga-de-transito-e-e-encontrado-com-ajuda-de-ia.ghtml,"...Superintendência-Geral de Governança de Serviços e Dados (SGGSD), com operação em conformidade com a Lei Geral de Proteção de Dados Pessoais (LGPD...",há 4 dias,1
"Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda, em cinco pontos, a nova regra da Anac",https://g1.globo.com/turismo-e-viagem/noticia/2026/08/20/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-em-cinco-pontos-a-nova-regra-da-anac.ghtml,"...Contratos de transporte deverão ser alterados em razão da Lei Geral de Proteção de Dados (LGPD) Renato Pajuelo/AFP via Getty Images... … ...à BBC, afirmou que ""haverá mudanças nos contratos de transporte aéreo e, caso necessário, ajustes devido à LGPD""...",há 5 dias,1
